SNR,MCS,PRBs,TBS,m_type,predicted_dec_time,dec_time,p_err
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,250,100392,CPU,958.0870971679688,892.22558,7.381711379309334
18,10,250,100392,CPU,958.0870971679688,889.62858,7.695179618439045
18,10,250,100392,CPU,958.0870971679688,890.77658,7.556386043284702
18,10,250,100392,CPU,958.0870971679688,886.02158,8.133607441928083
18,10,250,100392,CPU,958.0870971679688,885.65158,8.178782582645965
18,10,250,100392,CPU,958.0870971679688,893.43058,7.236882038218212
18,10,250,100392,CPU,958.0870971679688,880.70558,8.7863094006931
18,10,250,100392,CPU,958.0870971679688,878.66058,9.039499321566101
18,10,250,100392,CPU,958.0870971679688,902.99758,6.100738073735345
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,115.76958,2.8874144448684955
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,116.79358,1.9853382143809513
18,10,250,100392,GPU,119.1123275756836,115.76958,2.8874144448684955
19,11,58,24576,CPU,282.2561340332031,264.78918,6.5965512764544005
19,11,58,24576,CPU,282.2561340332031,261.10318,8.101377406894514
19,11,58,24576,CPU,282.2561340332031,257.72918,9.516560768634402
19,11,58,24576,CPU,282.2561340332031,267.93518,5.3449323202735535
19,11,58,24576,CPU,282.2561340332031,259.92918,8.589629695751418
19,11,58,24576,CPU,282.2561340332031,265.99018,6.115246071566671
19,11,58,24576,CPU,282.2561340332031,262.42118,7.558442513368446
19,11,58,24576,CPU,282.2561340332031,263.49118,7.121663060297935
19,11,58,24576,CPU,282.2561340332031,258.46418,9.205126231883709
